,v2_impactScore,v2_accessVector,v2_userInteractionRequired,v2_accessComplexity,v2_baseScore,v3_score
235,2.9,1,1,0.61,4.3,5.5
236,10.0,1,1,0.61,9.3,8.8
237,6.9,0.395,0,0.71,4.9,5.5
238,6.9,0.395,0,0.71,4.9,5.5
239,6.9,0.395,0,0.71,4.9,5.5
240,6.9,0.395,0,0.71,4.9,5.5
241,6.9,0.395,0,0.71,4.9,5.5
242,6.9,1,0,0.71,7.8,7.5
243,10.0,1,0,0.71,10.0,9.8
244,10.0,1,0,0.71,10.0,9.8
245,6.9,1,0,0.71,7.8,7.5
246,10.0,0.395,0,0.71,7.2,6.8
247,10.0,0.395,0,0.71,7.2,7.8
248,6.9,0.395,0,0.71,4.9,5.5
249,10.0,0.395,0,0.71,7.2,7.8
250,4.9,1,0,0.71,6.4,9.1
251,10.0,0.395,0,0.71,7.2,7.8
252,6.4,0.395,0,0.71,4.6,7.8
253,2.9,0.395,0,0.71,2.1,5.5
254,6.4,1,1,0.61,6.8,8.8
255,2.9,0.395,0,0.71,2.1,5.5
256,10.0,0.395,0,0.71,7.2,7.8
257,10.0,1,1,0.61,9.3,7.8
258,6.4,0.395,0,0.61,4.4,6.4
259,2.9,0.395,0,0.71,2.1,5.5
260,2.9,1,1,0.61,4.3,6.5
261,6.4,0.395,1,0.61,4.4,7.3
262,2.9,0.395,0,0.71,2.1,4.4
263,6.4,0.395,0,0.71,4.6,7.8
264,2.9,0.395,0,0.71,2.1,5.5
265,10.0,0.395,0,0.71,7.2,7.8
266,2.9,0.395,0,0.71,2.1,5.5
267,6.4,0.395,0,0.71,4.6,7.8
268,10.0,1,0,0.71,10.0,9.8
269,2.9,1,1,0.61,4.3,6.5
270,2.9,0.395,1,0.61,1.9,5.5
271,2.9,1,1,0.61,3.5,4.5
272,2.9,1,1,0.61,3.5,4.5
273,9.2,1,0,0.71,9.4,9.1
274,2.9,0.395,0,0.71,2.1,5.5
275,2.9,0.395,0,0.71,2.1,5.5
276,2.9,1,0,0.71,5.0,7.5
277,2.9,1,1,0.61,4.3,6.5
278,2.9,0.395,0,0.71,2.1,5.5
279,2.9,0.395,0,0.71,2.1,5.5
280,2.9,0.395,0,0.71,2.1,5.5
281,2.9,0.395,0,0.71,2.1,4.4
282,2.9,0.395,0,0.71,2.1,4.4
283,2.9,0.395,0,0.71,2.1,5.5
284,2.9,0.395,0,0.71,2.1,5.5
285,2.9,0.395,0,0.71,2.1,5.5
286,2.9,0.395,0,0.71,2.1,5.5
287,2.9,0.395,0,0.71,2.1,5.5
288,6.4,0.395,0,0.71,4.6,7.8
289,6.4,0.395,0,0.71,4.6,7.8
290,2.9,1,0,0.71,5.0,7.5
291,2.9,1,1,0.61,4.3,6.5
292,2.9,0.395,0,0.71,2.1,5.5
293,6.4,1,1,0.61,6.8,8.8
294,2.9,0.395,0,0.71,2.1,5.5
295,6.4,0.395,0,0.61,4.4,6.4
296,6.4,0.395,0,0.71,4.6,7.8
297,2.9,0.395,0,0.71,2.1,5.5
298,2.9,0.395,0,0.71,2.1,5.5
299,6.4,0.395,0,0.71,4.6,6.7
300,2.9,0.395,0,0.71,2.1,5.5
301,2.9,0.395,0,0.71,2.1,5.5
302,2.9,0.395,0,0.71,2.1,5.5
303,2.9,0.395,0,0.71,2.1,5.5
304,2.9,0.395,0,0.71,2.1,5.5
305,2.9,0.395,0,0.71,2.1,5.5
306,2.9,0.395,0,0.71,2.1,5.5
307,2.9,0.395,0,0.71,2.1,5.5
308,6.9,0.395,0,0.71,4.9,5.5
309,6.4,1,1,0.61,6.8,7.8
310,2.9,1,1,0.61,4.3,6.5
311,6.4,1,1,0.61,6.8,8.8
312,2.9,0.395,0,0.71,2.1,4.4
313,2.9,0.395,0,0.71,2.1,5.5
314,2.9,1,1,0.61,4.3,6.5
315,2.9,0.395,0,0.71,2.1,4.4
316,6.4,0.395,0,0.71,4.6,6.7
317,2.9,0.395,0,0.71,2.1,5.5
318,2.9,0.395,0,0.71,2.1,4.4
319,2.9,0.395,0,0.71,2.1,5.5
320,6.4,0.395,0,0.71,4.6,6.7
321,2.9,0.395,0,0.71,2.1,5.5
322,2.9,1,1,0.61,4.3,6.5
323,6.4,1,0,0.71,7.5,9.8
324,6.4,0.395,0,0.71,4.6,6.7
325,6.4,0.395,0,0.71,4.6,6.7
326,6.4,0.395,0,0.71,4.6,6.7
327,2.9,0.395,0,0.71,2.1,5.5
328,2.9,0.395,0,0.71,2.1,5.5
329,9.2,1,0,0.71,9.4,9.1
330,2.9,1,1,0.61,4.3,6.5
331,6.4,0.395,0,0.71,4.6,7.8
332,10.0,1,0,0.71,10.0,9.8
333,2.9,0.395,0,0.71,2.1,5.5
334,2.9,0.395,0,0.71,2.1,5.5
335,6.4,0.395,1,0.61,4.4,7.8
336,6.4,0.395,0,0.61,4.4,7.8
337,6.4,0.395,0,0.71,4.6,6.7
338,2.9,1,0,0.71,4.0,4.9
339,2.9,0.395,0,0.71,2.1,4.4
340,6.4,0.395,0,0.71,4.6,6.7
341,6.9,1,1,0.61,7.1,6.5
342,2.9,0.395,0,0.71,2.1,5.5
343,2.9,1,1,0.61,4.3,6.5
344,6.4,1,0,0.71,7.5,9.8
345,2.9,1,1,0.61,4.3,6.5
346,6.4,0.395,0,0.71,4.6,6.7
347,6.4,0.395,0,0.71,4.6,7.8
348,6.4,0.395,0,0.61,4.4,6.4
349,2.9,0.395,0,0.71,2.1,5.5
350,6.4,1,1,0.61,6.8,7.8
351,2.9,1,1,0.61,4.3,6.5
352,2.9,1,1,0.61,4.3,6.5
353,2.9,1,1,0.61,4.3,6.5
354,2.9,1,1,0.61,4.3,6.5
355,2.9,0.395,0,0.71,2.1,5.5
356,6.4,1,1,0.61,6.8,7.8
357,9.2,1,0,0.71,9.4,9.1
358,2.9,0.395,0,0.71,2.1,3.3
359,6.4,0.395,0,0.71,4.6,7.8
360,2.9,1,1,0.61,4.3,6.5
361,9.2,1,0,0.71,9.4,9.1
362,2.9,0.395,0,0.71,2.1,5.5
363,2.9,0.395,0,0.61,1.9,4.7
364,10.0,0.395,0,0.71,7.2,7.8
365,10.0,0.395,0,0.71,7.2,7.8
366,9.2,1,0,0.71,9.4,9.1
367,6.9,1,0,0.71,7.8,7.5
368,6.9,0.395,0,0.71,4.9,5.5
369,2.9,0.646,1,0.61,2.9,5.7
370,10.0,1,0,0.71,10.0,9.8
371,2.9,1,0,0.71,5.0,7.5
372,2.9,0.395,0,0.71,2.1,2.3
373,2.9,1,1,0.61,4.3,5.5
374,2.9,1,1,0.61,4.3,5.5
375,2.9,1,1,0.61,4.3,5.5
376,2.9,1,1,0.61,4.3,5.5
377,10.0,1,1,0.61,9.3,7.8
378,10.0,0.395,0,0.71,7.2,7.8
379,2.9,0.395,0,0.71,2.1,5.5
380,2.9,0.395,0,0.71,2.1,5.5
381,10.0,0.395,0,0.71,7.2,7.8
382,10.0,0.395,0,0.71,7.2,7.8
383,6.9,0.395,0,0.71,4.9,5.5
384,10.0,0.395,0,0.71,7.2,7.8
385,6.9,0.395,0,0.71,4.9,5.5
386,6.9,0.395,0,0.71,4.9,5.5
387,6.9,0.395,0,0.71,4.9,5.5
388,6.9,0.395,0,0.71,4.9,5.5
389,6.9,0.395,0,0.71,4.9,5.5
390,6.9,0.395,0,0.71,4.9,5.5
391,10.0,0.395,0,0.71,7.2,7.8
392,10.0,0.395,0,0.71,7.2,6.7
393,6.9,0.395,0,0.71,4.9,5.5
394,6.4,0.395,0,0.71,4.6,7.8
395,6.4,1,1,0.61,6.8,7.8
396,2.9,0.395,0,0.71,2.1,4.4
397,10.0,0.395,0,0.71,7.2,7.8
398,6.4,0.395,0,0.71,4.6,7.8
399,2.9,0.395,0,0.71,2.1,5.5
400,2.9,1,1,0.61,4.3,6.5
401,2.9,0.395,0,0.71,2.1,3.3
402,2.9,1,0,0.71,5.0,7.5
403,2.9,1,1,0.61,4.3,6.5
404,2.9,0.395,0,0.71,2.1,5.5
405,10.0,1,1,0.61,9.3,8.8
406,6.4,0.395,0,0.71,4.6,7.8
407,2.9,0.395,0,0.71,2.1,5.5
408,10.0,0.395,0,0.71,7.2,7.8
409,10.0,0.395,0,0.71,7.2,7.8
410,2.9,0.395,0,0.71,2.1,3.3
411,10.0,0.395,0,0.71,7.2,7.8
412,2.9,0.395,0,0.71,2.1,5.5
413,2.9,0.395,0,0.71,2.1,5.5
414,2.9,0.395,0,0.71,2.1,5.5
415,2.9,0.395,0,0.71,2.1,5.5
416,6.4,0.395,0,0.61,4.4,6.4
417,6.4,0.395,0,0.71,4.6,6.7
418,6.4,0.395,0,0.71,4.6,7.8
419,6.4,0.395,0,0.71,4.6,6.7
420,6.4,0.395,0,0.71,4.6,7.8
421,6.4,0.395,0,0.71,4.6,7.8
422,10.0,0.395,0,0.71,7.2,7.8
423,2.9,0.395,0,0.71,2.1,5.5
424,6.4,0.395,0,0.71,4.6,7.8
425,6.4,0.395,0,0.71,4.6,7.8
426,10.0,0.395,0,0.71,7.2,7.8
427,6.9,1,0,0.71,7.8,7.5
428,6.9,1,0,0.71,7.8,7.5
429,2.9,0.395,0,0.71,2.1,5.5
430,10.0,0.395,0,0.71,7.2,7.8
431,6.4,1,0,0.71,7.5,9.8
432,6.4,1,0,0.71,7.5,9.8
433,6.4,1,0,0.71,7.5,9.8
434,2.9,0.395,0,0.71,2.1,5.5
435,10.0,1,1,0.61,9.3,8.8
436,2.9,1,1,0.61,4.3,6.5
437,10.0,1,1,0.61,9.3,8.8
438,6.4,1,0,0.71,7.5,9.8
439,2.9,0.395,0,0.71,2.1,5.5
440,2.9,0.395,0,0.71,2.1,5.5
441,6.4,1,0,0.71,7.5,9.8
442,6.4,1,0,0.71,7.5,9.8
443,6.4,1,0,0.71,7.5,9.8
444,10.0,1,1,0.61,9.3,7.8
445,2.9,0.395,0,0.71,2.1,3.3
446,2.9,1,0,0.71,5.0,7.5
447,2.9,1,0,0.71,5.0,7.5
448,2.9,0.395,0,0.71,2.1,5.5
449,10.0,0.395,0,0.71,7.2,7.8
450,10.0,0.395,0,0.71,7.2,7.8
451,2.9,0.395,0,0.71,2.1,5.5
452,2.9,0.395,0,0.71,2.1,5.5
453,2.9,0.395,0,0.71,2.1,5.5
454,2.9,1,1,0.61,4.3,5.5
455,6.4,1,0,0.71,7.5,9.8
456,2.9,0.395,0,0.71,2.1,4.6
457,6.4,0.395,0,0.61,4.4,7.0
458,6.4,1,1,0.61,6.8,7.8
459,2.9,0.395,0,0.71,2.1,4.4
460,2.9,0.395,0,0.71,2.1,5.5
461,6.4,1,1,0.61,6.8,7.8
462,6.4,1,1,0.61,6.8,7.8
463,6.4,1,1,0.61,6.8,7.8
464,2.9,0.395,0,0.71,2.1,3.3
465,2.9,0.395,0,0.71,2.1,4.4
466,6.4,0.395,0,0.71,4.6,6.7
467,6.4,0.395,0,0.71,4.6,6.7
468,6.4,0.395,0,0.71,4.6,7.8
469,6.4,0.395,0,0.71,4.6,7.8
470,2.9,1,1,0.61,4.3,6.5
471,6.4,1,1,0.61,6.8,8.8
472,2.9,1,1,0.61,4.3,6.5
473,2.9,1,1,0.61,4.3,6.5
474,2.9,1,1,0.61,4.3,6.5
475,2.9,0.395,0,0.71,2.1,5.5
476,2.9,1,1,0.61,4.3,6.5
477,2.9,0.395,0,0.71,2.1,5.5
478,2.9,0.395,0,0.71,2.1,5.5
479,2.9,0.395,0,0.71,2.1,5.5
480,2.9,1,1,0.61,4.3,5.5
481,2.9,1,1,0.61,4.3,4.3
482,2.9,0.395,0,0.71,2.1,5.5
483,2.9,0.395,0,0.71,2.1,5.5
484,6.4,0.395,0,0.71,4.6,5.3
485,2.9,0.395,0,0.71,2.1,5.5
486,6.4,0.395,0,0.71,4.6,7.8
487,4.9,0.395,0,0.71,3.6,6.1
488,2.9,0.395,0,0.71,2.1,2.3
489,2.9,0.395,0,0.71,2.1,4.4
490,6.4,0.395,0,0.71,4.6,7.8
491,6.4,0.395,0,0.71,4.6,7.8
492,2.9,0.395,0,0.71,2.1,5.5
493,2.9,0.395,0,0.71,2.1,5.5
494,6.4,0.395,0,0.71,4.6,7.8
495,6.4,0.395,0,0.71,4.6,7.8
496,6.4,0.395,0,0.71,4.6,7.8
497,2.9,0.395,0,0.71,2.1,5.5
498,6.4,0.395,0,0.71,4.6,5.3
499,6.4,0.395,0,0.71,4.6,7.8
500,6.4,0.395,0,0.71,4.6,7.8
501,6.4,0.395,0,0.71,4.6,6.7
502,2.9,0.395,0,0.71,2.1,4.4
503,6.4,0.395,0,0.71,4.6,7.8
504,6.4,0.395,0,0.71,4.6,7.8
505,6.4,0.395,0,0.71,4.6,7.8
506,2.9,1,0,0.71,4.0,6.5
507,4.9,0.646,0,0.71,4.8,7.1
508,6.4,0.395,0,0.71,4.6,6.7
509,2.9,1,0,0.71,5.0,7.5
510,2.9,1,0,0.71,5.0,5.3
511,2.9,1,0,0.71,5.0,7.5
512,2.9,1,0,0.71,4.0,4.9
513,2.9,1,0,0.71,5.0,7.5
514,2.9,0.395,0,0.71,2.1,5.5
515,2.9,1,0,0.71,5.0,7.5
516,6.4,0.395,0,0.71,4.6,6.7
517,6.4,0.395,0,0.71,4.6,7.8
518,2.9,0.395,0,0.71,2.1,5.5
519,2.9,0.395,0,0.71,2.1,4.4
520,6.4,0.395,0,0.71,4.6,7.8
521,6.4,0.395,0,0.71,4.6,7.8
522,2.9,0.395,0,0.71,2.1,5.5
523,2.9,0.395,0,0.71,2.1,5.5
524,2.9,0.395,0,0.61,1.9,5.6
525,2.9,0.395,0,0.61,1.9,5.6
526,2.9,0.395,0,0.71,2.1,4.4
527,6.4,0.395,1,0.35,3.7,7.0
528,6.4,0.395,0,0.71,4.6,7.8
529,6.4,0.646,0,0.71,5.8,7.1
530,6.4,0.395,0,0.71,4.6,7.8
531,2.9,0.646,0,0.71,3.3,6.5
532,6.4,0.395,0,0.71,4.6,7.8
533,6.4,0.395,0,0.71,4.6,7.8
534,6.4,0.395,0,0.71,4.6,7.8
535,6.4,0.395,0,0.71,4.6,7.8
536,6.4,0.395,0,0.71,4.6,7.8
537,6.4,0.395,0,0.71,4.6,7.8
538,6.4,0.395,0,0.71,4.6,7.8
539,6.4,0.395,0,0.71,4.6,6.8
540,2.9,0.395,0,0.71,2.1,5.5
541,2.9,0.395,0,0.61,1.9,4.7
542,2.9,0.646,0,0.71,2.7,5.7
543,6.4,0.395,1,0.61,4.4,7.3
544,2.9,0.395,0,0.71,2.1,5.5
545,6.4,0.395,0,0.71,4.6,6.7
546,2.9,0.395,0,0.71,2.1,5.5
547,4.9,0.395,0,0.71,3.6,5.9
548,2.9,0.395,0,0.71,2.1,5.5
549,2.9,0.646,0,0.71,3.3,6.5
550,6.4,0.646,0,0.71,5.8,8.8
551,6.4,0.646,0,0.71,5.8,8.8
552,6.4,0.395,0,0.71,4.6,8.8
553,2.9,0.395,0,0.71,2.1,6.2
554,6.4,0.395,0,0.71,4.6,7.8
555,6.4,0.395,0,0.71,4.6,6.7
556,6.4,0.395,0,0.71,4.6,6.7
557,6.4,0.395,0,0.71,4.6,7.8
558,6.4,0.395,0,0.71,4.6,6.7
559,6.4,0.395,0,0.71,4.6,6.7
560,6.4,0.395,0,0.71,4.6,6.7
561,6.4,1,0,0.71,7.5,9.8
562,6.4,1,0,0.71,7.5,9.8
563,2.9,1,0,0.71,5.0,7.5
564,2.9,1,0,0.71,5.0,7.5
565,6.4,0.395,1,0.61,4.4,7.8
566,6.4,0.395,0,0.71,4.6,6.7
567,6.4,0.395,0,0.71,4.6,7.8
568,4.9,1,1,0.61,5.8,8.1
569,2.9,1,0,0.71,5.0,7.5
570,10.0,1,1,0.61,9.3,8.8
571,10.0,1,1,0.61,9.3,8.8
572,10.0,1,1,0.61,9.3,8.8
573,10.0,1,1,0.61,9.3,8.8
574,2.9,1,1,0.61,4.3,5.5
575,2.9,0.395,0,0.71,2.1,5.5
576,10.0,1,0,0.71,10.0,9.8
577,10.0,1,0,0.71,10.0,9.8
578,6.4,1,1,0.35,5.1,7.5
579,2.9,1,0,0.71,5.0,7.5
580,6.4,0.395,0,0.71,4.6,7.8
581,6.4,0.395,0,0.71,4.6,7.8
582,2.9,0.395,0,0.71,2.1,5.5
583,6.9,0.395,0,0.71,4.9,5.5
584,6.9,0.395,0,0.71,4.9,6.0
585,6.4,1,0,0.71,6.5,8.8
586,6.4,0.395,0,0.71,4.6,7.8
587,2.9,0.395,0,0.71,2.1,4.4
588,2.9,0.395,0,0.71,2.1,5.5
589,6.4,0.395,0,0.71,4.6,7.8
590,6.4,0.395,0,0.71,4.6,7.8
591,6.4,0.395,0,0.71,4.6,7.8
592,6.4,0.395,0,0.71,4.6,7.8
593,6.4,0.395,0,0.71,4.6,7.8
594,6.4,0.395,0,0.71,4.6,7.8
